expr,time
quickSort(arr10000),60999781
selection_sort(arr10),12757
selection_sort(arr10000),1837340159
quickSort(arr10),79679
quickSort(arr10),53650
selection_sort(arr10),8617
selection_sort(arr1000),20281498
bubble_sort(arr100),657027
selection_sort(arr100),235114
bubble_sort(arr1000),52017333
selection_sort(arr100),214560
quickSort(arr10),69631
selection_sort(arr100),204671
bubble_sort(arr10000),5339312054
quickSort(arr1000),6010407
quickSort(arr10),39823
quickSort(arr10),38744
selection_sort(arr10000),1820197364
selection_sort(arr10),14398
quickSort(arr10),69638
quickSort(arr10),94750
selection_sort(arr10000),1843861611
selection_sort(arr1000),18295876
quickSort(arr100),472611
quickSort(arr10000),54272480
quickSort(arr10),58502
quickSort(arr10),46814
selection_sort(arr100),247501
bubble_sort(arr10000),5173142502
quickSort(arr100),487641
selection_sort(arr100),208858
selection_sort(arr10),5937
bubble_sort(arr10000),5590223288
selection_sort(arr1000),20189689
selection_sort(arr10000),2054212864
quickSort(arr10000),63377711
selection_sort(arr10000),2150945887
bubble_sort(arr10000),6058037375
selection_sort(arr1000),18126483
selection_sort(arr100),206621
selection_sort(arr10),6165
bubble_sort(arr10000),5724166691
quickSort(arr100),471693
bubble_sort(arr100),555257
quickSort(arr100),422601
selection_sort(arr10000),2051762890
selection_sort(arr10000),1851164876
bubble_sort(arr10000),5383361640
bubble_sort(arr1000),57457712
selection_sort(arr100),243048
bubble_sort(arr1000),59782124
selection_sort(arr10000),1942285756
quickSort(arr10),93951
bubble_sort(arr1000),66784069
quickSort(arr1000),6320760
selection_sort(arr10),14270
quickSort(arr1000),8211011
selection_sort(arr10000),1989581013
bubble_sort(arr10000),5228339585
bubble_sort(arr10),15125
quickSort(arr10),81051
quickSort(arr10),45154
bubble_sort(arr1000),55246240
quickSort(arr100),477917
selection_sort(arr10000),1821360442
selection_sort(arr1000),18129270
selection_sort(arr10),12359
bubble_sort(arr1000),51473638
bubble_sort(arr1000),51517488
bubble_sort(arr10000),5073464292
bubble_sort(arr10000),5187590038
bubble_sort(arr10000),5051618776
selection_sort(arr1000),19069256
selection_sort(arr10),9407
bubble_sort(arr1000),50360470
selection_sort(arr100),214315
quickSort(arr100),527473
selection_sort(arr10),7363
quickSort(arr10000),50521216
bubble_sort(arr1000),52468816
selection_sort(arr1000),18583896
bubble_sort(arr10000),6328340828
bubble_sort(arr100),560266
selection_sort(arr10),8218
selection_sort(arr1000),18248755
selection_sort(arr1000),18301630
selection_sort(arr10000),1852994783
selection_sort(arr100),207410
selection_sort(arr10),6805
selection_sort(arr100),283838
selection_sort(arr10000),1950987043
quickSort(arr100),603314
selection_sort(arr1000),18331987
quickSort(arr10),71410
selection_sort(arr1000),18297230
bubble_sort(arr100),556500
bubble_sort(arr1000),51164534
quickSort(arr10),72430
selection_sort(arr10),8806
selection_sort(arr10),5331
bubble_sort(arr10),8563
selection_sort(arr100),200717
quickSort(arr100),584471
selection_sort(arr10),6906
selection_sort(arr10),5388
quickSort(arr10),54111
selection_sort(arr100),198649
bubble_sort(arr10000),5580344907
quickSort(arr100),513140
quickSort(arr1000),4849192
bubble_sort(arr100),594299
selection_sort(arr1000),18409527
bubble_sort(arr100),564092
bubble_sort(arr10),9103
selection_sort(arr1000),18551411
bubble_sort(arr1000),50704951
bubble_sort(arr10),15612
selection_sort(arr10),7688
bubble_sort(arr10000),5175506017
selection_sort(arr100),212986
quickSort(arr10000),59177128
quickSort(arr100),490290
quickSort(arr1000),5529463
